SmsId,SenderPhoneNumber,Sender,text,subject,country,attributedBody,type,date,date_delivered,timestamp,month_name,day_name,day,hour,weekday,week,year,polarity,subjectivity,negativity,neutrality,positivity,compound,nouns,tags,word_count
146452,88022,Trump,"Pres. Trump: I texted you. My son, Don, texted you. Now I'm texting you AGAIN. I need YOU as a Trump Free Speech Defender. Join NOW: bit.ly/3zw8vb4

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.48945251916189e+17,0,2021-07-25 22:34:11.916188928,July,Sunday,25,22,6,29,2021,0.4,0.8,0.0,0.784,0.216,0.7096,"['pres', 'trump', 'don', 'again', 'you', 'trump free speech defender', 'join now', 'stop2end']","[('Pres', 'NNS'), ('Trump', 'NN'), ('I', 'PRP'), ('texted', 'VBD'), ('you', 'PRP'), ('My', 'PRP$'), ('son', 'NN'), ('Don', 'NNP'), ('texted', 'VBD'), ('you', 'PRP'), ('Now', 'RB'), ('I', 'PRP'), (""'m"", 'VBP'), ('texting', 'VBG'), ('you', 'PRP'), ('AGAIN', 'NNP'), ('I', 'PRP'), ('need', 'VBP'), ('YOU', 'PRP'), ('as', 'IN'), ('a', 'DT'), ('Trump', 'NNP'), ('Free', 'NNP'), ('Speech', 'NNP'), ('Defender', 'NNP'), ('Join', 'RB'), ('NOW', 'NNP'), ('bit.ly/3zw8vb4', 'NN'), ('Stop2End', 'NN')]",28
146527,88022,Trump,"YOUR PAYMENT IS INCOMPLETE, Corey

Pres Trump requested $10 for:

TRUMP DAY ONE CLUB

1 HOUR. Finish your payment >> bit.ly/2TBNAUR

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49026026581322e+17,0,2021-07-26 21:00:26.581321984,July,Monday,26,21,0,30,2021,0.0,0.0,0.0,1.0,0.0,0.0,"['your payment is incomplete', 'corey pres trump', 'trump day one club', 'hour', 'finish', 'payment > > bit.ly/2tbnaur', 'stop2end']","[('YOUR', 'PRP$'), ('PAYMENT', 'NNP'), ('IS', 'NNP'), ('INCOMPLETE', 'NNP'), ('Corey', 'NNP'), ('Pres', 'NNP'), ('Trump', 'NNP'), ('requested', 'VBD'), ('10', 'CD'), ('for', 'IN'), ('TRUMP', 'NNP'), ('DAY', 'NNP'), ('ONE', 'NNP'), ('CLUB', 'NNP'), ('1', 'CD'), ('HOUR', 'NNP'), ('Finish', 'VB'), ('your', 'PRP$'), ('payment', 'NN'), ('>', 'NN'), ('>', 'NNP'), ('bit.ly/2TBNAUR', 'NN'), ('Stop2End', 'NNP')]",22
146532,88022,Trump,"Pres. Trump: You're 1 of the most patriotic people I know, Corey. I want to give YOU a FREE Trump Flag. Donate $35 & claim: bit.ly/3BtjdBf

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49036760937167e+17,0,2021-07-26 23:59:20.937167104,July,Monday,26,23,0,30,2021,0.45,0.65,0.0,0.824,0.176,0.6523,"['pres', 'trump', 'patriotic people', 'corey', 'you', 'free trump flag', 'donate', 'stop2end']","[('Pres', 'NNS'), ('Trump', 'NN'), ('You', 'PRP'), (""'re"", 'VBP'), ('1', 'CD'), ('of', 'IN'), ('the', 'DT'), ('most', 'RBS'), ('patriotic', 'JJ'), ('people', 'NNS'), ('I', 'PRP'), ('know', 'VBP'), ('Corey', 'NNP'), ('I', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('give', 'VB'), ('YOU', 'PRP'), ('a', 'DT'), ('FREE', 'JJ'), ('Trump', 'NNP'), ('Flag', 'NNP'), ('Donate', 'NNP'), ('35', 'CD'), ('&', 'CC'), ('claim', 'NN'), ('bit.ly/3BtjdBf', 'NN'), ('Stop2End', 'NN')]",27
146572,88022,Trump,"President Trump wants you to win the never-before-seen MAGA Hat that he HAND-SIGNED for you! 1 HOUR LEFT to enter! Contribute NOW >> bit.ly/2UHTaFX

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49096631955307e+17,0,2021-07-27 16:37:11.955307008,July,Tuesday,27,16,1,30,2021,0.4,0.166666666666667,0.0,0.846,0.154,0.658,"['trump', 'maga', 'hand-signed', 'hour left', 'contribute now', '> > bit.ly/2uhtafx', 'stop2end']","[('President', 'NNP'), ('Trump', 'NNP'), ('wants', 'VBZ'), ('you', 'PRP'), ('to', 'TO'), ('win', 'VB'), ('the', 'DT'), ('never-before-seen', 'JJ'), ('MAGA', 'NNP'), ('Hat', 'NNP'), ('that', 'IN'), ('he', 'PRP'), ('HAND-SIGNED', 'NNP'), ('for', 'IN'), ('you', 'PRP'), ('1', 'CD'), ('HOUR', 'NNP'), ('LEFT', 'NNP'), ('to', 'TO'), ('enter', 'VB'), ('Contribute', 'NN'), ('NOW', 'NNP'), ('>', 'NNP'), ('>', 'NNP'), ('bit.ly/2UHTaFX', 'VBD'), ('Stop2End', 'NNP')]",25
146590,88022,Trump,"FINAL OFFER: You haven't donated to fund our Trump Rally Fund. Your 3X-IMPACT offer is EXPIRING! Pres Trump's calling on YOU. DONATE: bit.ly/3x8odrk

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49105841472368e+17,0,2021-07-27 19:10:41.472368000,July,Tuesday,27,19,1,30,2021,0.0,1.0,0.0,1.0,0.0,0.0,"['final offer', 'trump rally', 'your', 'expiring', 'pres trump', 'you', 'donate', 'stop2end']","[('FINAL', 'NNP'), ('OFFER', 'NN'), ('You', 'PRP'), ('have', 'VBP'), (""n't"", 'RB'), ('donated', 'VBN'), ('to', 'TO'), ('fund', 'VB'), ('our', 'PRP$'), ('Trump', 'NNP'), ('Rally', 'NNP'), ('Fund', 'NNP'), ('Your', 'PRP$'), ('3X-IMPACT', 'JJ'), ('offer', 'NN'), ('is', 'VBZ'), ('EXPIRING', 'CD'), ('Pres', 'NNS'), ('Trump', 'NNP'), (""'s"", 'POS'), ('calling', 'VBG'), ('on', 'IN'), ('YOU', 'NNP'), ('DONATE', 'NN'), ('bit.ly/3x8odrk', 'NN'), ('Stop2End', 'NN')]",24
146615,52005,Warnock,"Thanks for signing up to receive recurring updates from Warnock for Georgia. Txt HELP for help, STOP to end. Msg & Data rates may apply",,,streamtyped���@���NSMutableAttributedString,0,6.49122340741023e+17,0,2021-07-27 23:45:40.741022976,July,Tuesday,27,23,1,30,2021,0.2,0.2,0.089,0.637,0.274,0.7269,"['thanks', 'warnock', 'georgia', 'txt help', 'stop', 'msg', 'data']","[('Thanks', 'NNS'), ('for', 'IN'), ('signing', 'VBG'), ('up', 'RP'), ('to', 'TO'), ('receive', 'VB'), ('recurring', 'VBG'), ('updates', 'NNS'), ('from', 'IN'), ('Warnock', 'NNP'), ('for', 'IN'), ('Georgia', 'NNP'), ('Txt', 'NNP'), ('HELP', 'NNP'), ('for', 'IN'), ('help', 'NN'), ('STOP', 'NNP'), ('to', 'TO'), ('end', 'VB'), ('Msg', 'NNP'), ('&', 'CC'), ('Data', 'NNP'), ('rates', 'NNS'), ('may', 'MD'), ('apply', 'VB')]",25
146620,88022,Trump,"Pres Trump: I need you, Corey. We have a CRITICAL fundraising deadline coming up. QUADRUPLE-IMPACT for YOU only. Donate NOW: bit.ly/3iXAUAr

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49185100435011e+17,0,2021-07-28 17:11:40.435011072,July,Wednesday,28,17,2,30,2021,0.0,0.9,0.126,0.874,0.0,-0.4648,"['pres trump', 'corey', 'critical', 'quadruple-impact', 'you', 'donate now', 'stop2end']","[('Pres', 'NNS'), ('Trump', 'VBP'), ('I', 'PRP'), ('need', 'VBP'), ('you', 'PRP'), ('Corey', 'NNP'), ('We', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('CRITICAL', 'NNP'), ('fundraising', 'NN'), ('deadline', 'NN'), ('coming', 'VBG'), ('up', 'RP'), ('QUADRUPLE-IMPACT', 'NN'), ('for', 'IN'), ('YOU', 'NNP'), ('only', 'RB'), ('Donate', 'NN'), ('NOW', 'NN'), ('bit.ly/3iXAUAr', 'NN'), ('Stop2End', 'NN')]",22
146623,88022,Trump,"BREAKING:

Pres Trump: Dems want to require children to wear masks. I need YOU to FIGHT BACK. 400%-IMPACT: ACTIVATED! Donate NOW: bit.ly/3l1S2HX

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49197671907004e+17,0,2021-07-28 20:41:11.907004032,July,Wednesday,28,20,2,30,2021,0.0,0.0,0.14,0.81,0.05,-0.5147,"['breaking', 'pres trump', 'dems', 'you', 'fight back', '% -impact', 'activated', 'donate now', 'stop2end']","[('BREAKING', 'NN'), ('Pres', 'NNS'), ('Trump', 'VBP'), ('Dems', 'NNP'), ('want', 'VBP'), ('to', 'TO'), ('require', 'VB'), ('children', 'NNS'), ('to', 'TO'), ('wear', 'VB'), ('masks', 'NNS'), ('I', 'PRP'), ('need', 'VBP'), ('YOU', 'PRP'), ('to', 'TO'), ('FIGHT', 'VB'), ('BACK', 'NNP'), ('400', 'CD'), ('%', 'NN'), ('-IMPACT', 'NN'), ('ACTIVATED', 'NN'), ('Donate', 'NN'), ('NOW', 'NN'), ('bit.ly/3l1S2HX', 'NN'), ('Stop2End', 'NN')]",23
146638,88022,Trump,"FINAL NOTICE: Your QUADRUPLE-IMPACT: ACTIVATED for 1HR! Don't share. Pres Trump asked us to send this special link to you. Donate: bit.ly/3rDnLAq

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49204747020009e+17,0,2021-07-28 22:39:07.020009088,July,Wednesday,28,22,2,30,2021,0.178571428571429,0.785714285714286,0.072,0.798,0.13,0.3672,"['final notice', 'your quadruple-impact', 'activated', ""n't share"", 'pres trump', 'special link', 'donate', 'stop2end']","[('FINAL', 'NNP'), ('NOTICE', 'NNP'), ('Your', 'PRP$'), ('QUADRUPLE-IMPACT', 'JJ'), ('ACTIVATED', 'NN'), ('for', 'IN'), ('1HR', 'CD'), ('Do', 'VBP'), (""n't"", 'RB'), ('share', 'NN'), ('Pres', 'NNS'), ('Trump', 'NNP'), ('asked', 'VBD'), ('us', 'PRP'), ('to', 'TO'), ('send', 'VB'), ('this', 'DT'), ('special', 'JJ'), ('link', 'NN'), ('to', 'TO'), ('you', 'PRP'), ('Donate', 'NN'), ('bit.ly/3rDnLAq', 'NN'), ('Stop2End', 'NN')]",23
146669,43367,Biden,"VP Harris here. Our democracy is on the line, and the DNC needs 21 more Democrats from Laguna Niguel to defend it. Send $20 now: txt.democrats.org/vsl

STOP2quit",,,streamtyped���@���NSMutableAttributedString,0,6.49265665990267e+17,0,2021-07-29 15:34:25.990267008,July,Thursday,29,15,3,30,2021,0.5,0.5,0.0,1.0,0.0,0.0,"['vp harris', 'dnc', 'laguna niguel', 'stop2quit']","[('VP', 'NNP'), ('Harris', 'NNP'), ('here', 'RB'), ('Our', 'PRP$'), ('democracy', 'NN'), ('is', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('line', 'NN'), ('and', 'CC'), ('the', 'DT'), ('DNC', 'NNP'), ('needs', 'VBZ'), ('21', 'CD'), ('more', 'JJR'), ('Democrats', 'NNPS'), ('from', 'IN'), ('Laguna', 'NNP'), ('Niguel', 'NNP'), ('to', 'TO'), ('defend', 'VB'), ('it', 'PRP'), ('Send', 'NNP'), ('20', 'CD'), ('now', 'RB'), ('txt.democrats.org/vsl', 'NN'), ('STOP2quit', 'NN')]",27
146675,88022,Trump,"Don Jr: Our fundraising deadline is coming up. I'll send my father a list of Patriots who step up. Can I add your name? 4X-IMPACT >> bit.ly/3BX0Bd8

Stop2End",,,streamtyped���@���NSMutableAttributedString,0,6.49270039612643e+17,0,2021-07-29 16:47:19.612642944,July,Thursday,29,16,3,30,2021,0.0,0.0,0.0,1.0,0.0,0.0,"['don jr', 'patriots', '4x-impact > > bit.ly/3bx0bd8', 'stop2end']","[('Don', 'NNP'), ('Jr', 'NNP'), ('Our', 'PRP$'), ('fundraising', 'VBG'), ('deadline', 'NN'), ('is', 'VBZ'), ('coming', 'VBG'), ('up', 'RP'), ('I', 'PRP'), (""'ll"", 'MD'), ('send', 'VB'), ('my', 'PRP$'), ('father', 'NN'), ('a', 'DT'), ('list', 'NN'), ('of', 'IN'), ('Patriots', 'NNP'), ('who', 'WP'), ('step', 'VBP'), ('up', 'RB'), ('Can', 'MD'), ('I', 'PRP'), ('add', 'VB'), ('your', 'PRP$'), ('name', 'NN'), ('4X-IMPACT', 'JJ'), ('>', 'NNP'), ('>', 'NNP'), ('bit.ly/3BX0Bd8', 'VBD'), ('Stop2End', 'NNP')]",28
